Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A);Baseline corrected WE(1).Current (A);Current range;Overload
2;1667;11.879950970006;0.074127197265625;0.0483184814453125;;1 A;
2;1668;11.8834409699972;0.07647705078125;0.049774169921875;;1 A;
2;1669;11.8869309699884;0.0789794921875;0.051116943359375;;1 A;
2;1670;11.8904209699796;0.0814208984375;0.052947998046875;;1 A;
2;1671;11.8939109699708;0.083831787109375;0.05450439453125;;1 A;
2;1672;11.897400969962;0.086273193359375;0.0560302734375;;1 A;
2;1673;11.9008909699531;0.088714599609375;0.05767822265625;;1 A;
2;1674;11.9043809699443;0.091217041015625;0.05926513671875;;1 A;
2;1675;11.9078709699355;0.09356689453125;0.061309814453125;;1 A;
2;1676;11.9113609699267;0.0960693359375;0.063018798828125;;1 A;
2;1677;11.9148509699179;0.0985107421875;0.064483642578125;;1 A;
2;1678;11.9183409699091;0.100921630859375;0.066436767578125;;1 A;
2;1679;11.9218309699003;0.10333251953125;0.068695068359375;;1 A;
2;1680;11.9253209698915;0.1058349609375;0.070648193359375;;1 A;
2;1681;11.9288109698826;0.10833740234375;0.07275390625;;1 A;
2;1682;11.9323009698738;0.110687255859375;0.07464599609375;;1 A;
2;1683;11.935790969865;0.11309814453125;0.07666015625;;1 A;
2;1684;11.9392809698562;0.115631103515625;0.07891845703125;;1 A;
2;1685;11.9427709698474;0.118011474609375;0.081146240234375;;1 A;
2;1686;11.9462609698386;0.1204833984375;0.08343505859375;;1 A;
2;1687;11.9497509698298;0.122894287109375;0.085723876953125;;1 A;
2;1688;11.953240969821;0.12530517578125;0.0880126953125;;1 A;
2;1689;11.9567309698122;0.127838134765625;0.090606689453125;;1 A;
2;1690;11.9602209698033;0.130218505859375;0.09320068359375;;1 A;
2;1691;11.9637109697945;0.1326904296875;0.095428466796875;;1 A;
2;1692;11.9672009697857;0.135101318359375;0.098297119140625;;1 A;
2;1693;11.9706909697769;0.13751220703125;0.10101318359375;;1 A;
2;1694;11.9741809697681;0.139984130859375;0.10406494140625;;1 A;
2;1695;11.9776709697593;0.1424560546875;0.10675048828125;;1 A;
2;1696;11.9811609697505;0.144866943359375;0.109283447265625;;1 A;
2;1697;11.9846509697417;0.147308349609375;0.112091064453125;;1 A;
2;1698;11.9881409697329;0.14971923828125;0.1153564453125;;1 A;
2;1699;11.991630969724;0.1522216796875;0.118255615234375;;1 A;
2;1700;11.9951209697152;0.1546630859375;0.12158203125;;1 A;
2;1701;11.9986109697064;0.157073974609375;0.124267578125;;1 A;
2;1702;12.0021009696976;0.1595458984375;0.1275634765625;;1 A;
2;1703;12.0055909696888;0.161956787109375;0.131195068359375;;1 A;
2;1704;12.00908096968;0.16436767578125;0.1341552734375;;1 A;
2;1705;12.0125709696712;0.1668701171875;0.137542724609375;;1 A;
2;1706;12.0160609696624;0.1693115234375;0.14056396484375;;1 A;
2;1707;12.0195509696536;0.171783447265625;0.14410400390625;;1 A;
2;1708;12.0230409696447;0.174163818359375;0.148406982421875;;1 A;
2;1709;12.0265309696359;0.17657470703125;0.151611328125;;1 A;
2;1710;12.0300209696271;0.1790771484375;0.15521240234375;;1 A;
2;1711;12.0335109696183;0.181549072265625;0.15887451171875;;1 A;
2;1712;12.0370009696095;0.1839599609375;0.16241455078125;;1 A;
2;1713;12.0404909696007;0.186370849609375;0.166656494140625;;1 A;
2;1714;12.0439809695919;0.18878173828125;0.170318603515625;;1 A;
2;1715;12.0474709695831;0.1912841796875;0.1737060546875;;1 A;
2;1716;12.0509609695742;0.193695068359375;0.178009033203125;;1 A;
2;1717;12.0544509695654;0.19610595703125;0.1820068359375;;1 A;
2;1718;12.0579409695566;0.1986083984375;0.186279296875;;1 A;
2;1719;12.0614309695478;0.201019287109375;0.1905517578125;;1 A;
2;1720;12.064920969539;0.203399658203125;0.19384765625;;1 A;
2;1721;12.0684109695302;0.205841064453125;0.198089599609375;;1 A;
2;1722;12.0719009695214;0.20831298828125;0.202545166015625;;1 A;
2;1723;12.0753909695126;0.210784912109375;0.206512451171875;;1 A;
2;1724;12.0788809695038;0.213287353515625;0.210784912109375;;1 A;
2;1725;12.0823709694949;0.215667724609375;0.214385986328125;;1 A;
2;1726;12.0858609694861;0.21807861328125;0.218597412109375;;1 A;
2;1727;12.0893509694773;0.220550537109375;0.223419189453125;;1 A;
2;1728;12.0928409694685;0.222991943359375;0.227325439453125;;1 A;
