,Potential applied / V,Time / s,WE(1).Current / A,WE(1).Potential / V,Scan,Index,e / (A/s1/2),BaseLine / (A s-1/2),Fcurve / (A/s1/2),Ecurve / (A/s1/2),Dcurve / (A/s1/2),e Reconstructed / (A/s1/2)
71,-0.676116943359375,236.587608402674,-0.0025787353515625,-0.6749267578125,3,10807,-0.000653812,-0.0005999778994719906,-12.673421491571453,-7.634421044546704e-05,-1.3026221971300194e-08,-12.674097826707593
72,-0.67718505859375,236.60897040262,-0.00260009765624999,-0.67608642578125,3,10808,-0.000702228,-0.0006081497422868532,-11.972828359098903,-7.921897305891121e-05,-1.3529268839667682e-08,-11.973515741343519
73,-0.678253173828125,236.630332402566,-0.002606201171875,-0.677093505859375,3,10809,-0.000667549,-0.0006152463418843176,-11.395916485622115,-8.180281492612982e-05,-1.3981859484393551e-08,-11.396613548760783
74,-0.6793212890625,236.651694402512,-0.0026092529296875,-0.67822265625,3,10810,-0.000626903,-0.0006232031332370179,-10.782068058032788,-8.479979353496892e-05,-1.4507337996524497e-08,-10.782776075466899
75,-0.680389404296875,236.673056402458,-0.00260314941406251,-0.67919921875,3,10811,-0.000532967,-0.0006300846884190279,-10.277902230196187,-8.747981039354491e-05,-1.4977705753505325e-08,-10.278619809672705
76,-0.68145751953125,236.694418402404,-0.0025909423828125,-0.68035888671875,3,10812,-0.000603048,-0.0006382565312338913,-9.70973461078192,-9.07720790769377e-05,-1.555611495886804e-08,-9.710463654948345
77,-0.682525634765625,236.71578040235,-0.0026092529296875,-0.681365966796875,3,10813,-0.000611909,-0.0006453531308313549,-9.24187012485938,-9.373106401218749e-05,-1.6076508998672168e-08,-9.242609225130733
78,-0.68359375,236.737142402296,-0.0025970458984375,-0.682464599609375,3,10814,-0.000612185,-0.0006530948777686008,-8.757145872091849,-9.706865661983615e-05,-1.6664086103853294e-08,-8.757896052290324
79,-0.684661865234375,236.758504402242,-0.00261535644531249,-0.68353271484375,3,10815,-0.000685398,-0.0006606215732436827,-8.310272027479435,-0.00010042689512834078,-1.7255923176617948e-08,-8.311033093203731
80,-0.68572998046875,236.779866402188,-0.00261535644531249,-0.68450927734375,3,10816,-0.0005893,-0.000667503121378984,-7.921686928096738,-0.000103598355672648,-1.781540690222887e-08,-7.922458047389197
81,-0.686798095703125,236.801228402134,-0.002606201171875,-0.6856689453125,3,10817,-0.000571625,-0.0006756749641938474,-7.483772079047243,-0.00010749413829983789,-1.8503402312394284e-08,-7.484555266653139
82,-0.6878662109375,236.82259040208,-0.0026092529296875,-0.686737060546875,3,10818,-0.000621655,-0.000683201666715638,-7.1018776696399355,-0.00011121115661479984,-1.9160564552388737e-08,-7.10267210162383
83,-0.688934326171875,236.843952402027,-0.00261535644531249,-0.687835693359375,3,10819,-0.000655505,-0.0006909434066061752,-6.729393610633995,-0.00011516776841979884,-1.9860859349975167e-08,-6.73019974166988
84,-0.69000244140625,236.865314401973,-0.0026214599609375,-0.688812255859375,3,10820,-0.000608324,-0.0006978249617881844,-6.414729458795739,-0.00011880211308658716,-2.0504802680885804e-08,-6.415546106375416
85,-0.691070556640625,236.886676401919,-0.0026123046875,-0.689910888671875,3,10821,-0.000564309,-0.0007055667087254303,-6.078285113483329,-0.00012302721237754865,-2.1254228317016982e-08,-6.07911372865866
86,-0.692138671875,236.908038401865,-0.0026123046875,-0.691009521484375,3,10822,-0.000603506,-0.0007133084486159666,-5.759487125657605,-0.00012740165685173554,-2.203104377977947e-08,-5.760327857794117
87,-0.693206787109375,236.929400401811,-0.00261535644531249,-0.692047119140625,3,10823,-0.000569662,-0.000720620099675595,-5.473767918830905,-0.00013167491070492678,-2.2790755607259714e-08,-5.474620236632042
88,-0.69427490234375,236.950762401757,-0.002606201171875,-0.693115234375,3,10824,-0.000535189,-0.0007281467951506769,-5.194443610416764,-0.00013622263822837515,-2.360018535061109e-08,-5.195308003450328
89,-0.695343017578125,236.972124401703,-0.002606201171875,-0.6942138671875,3,10825,-0.000595691,-0.0007358885420879219,-4.922001695134963,-0.00014106311502243385,-2.4462743233041464e-08,-4.922878671254816
90,-0.6964111328125,236.993486401649,-0.00261535644531249,-0.69525146484375,3,10826,-0.000638806,-0.0007432001931475503,-4.67782883917549,-0.00014579140663474675,-2.530630886925361e-08,-4.678717856081581
91,-0.697479248046875,237.014848401595,-0.0026214599609375,-0.69635009765625,3,10827,-0.000654088,-0.0007509419400847954,-4.432482707060454,-0.00015096944356444097,-2.6231223340996688e-08,-4.433384644675327
92,-0.69854736328125,237.036210401541,-0.0026275634765625,-0.6973876953125,3,10828,-0.000616529,-0.0007582535840977142,-4.212594334027068,-0.0001560273039005637,-2.7135771670889748e-08,-4.213508642050839
93,-0.699615478515625,237.057572401487,-0.0026214599609375,-0.698486328125,3,10829,-0.000589109,-0.0007659953310349592,-3.991649155920589,-0.00016156607783694024,-2.812755060140352e-08,-3.9925767454570114
94,-0.70068359375,237.078934401433,-0.00262451171875,-0.69952392578125,3,10830,-0.000615349,-0.0007733069820945876,-3.793629643787401,-0.0001669761215259514,-2.909749200902826e-08,-3.7945699559885133
95,-0.701751708984375,237.100296401379,-0.00263061523437499,-0.7005615234375,3,10831,-0.000749709,-0.0007806186261075055,-3.6054337487566355,-0.00017256581816392762,-3.010087949657462e-08,-3.6063869633017864
96,-0.70281982421875,237.121658401325,-0.00266113281249999,-0.70166015625,3,10832,-0.000764725,-0.0007883603730447514,-3.416333365808385,-0.00017868666628227965,-3.120102917258676e-08,-3.4173004440487413
97,-0.703887939453125,237.143020401271,-0.002655029296875,-0.702728271484375,3,10833,-0.000654202,-0.0007958870685198342,-3.2419991651504048,-0.0001848437189048428,-3.2309154901393415e-08,-3.2429799282469842
98,-0.7049560546875,237.164382401217,-0.002655029296875,-0.703826904296875,3,10834,-0.000659769,-0.0008036288154570793,-3.0719604606923716,-0.0001913960633812722,-3.349001406885843e-08,-3.0729555190612237
99,-0.706024169921875,237.185744401164,-0.002655029296875,-0.70489501953125,3,10835,-0.000611775,-0.0008111555179788708,-2.915199336293181,-0.00019798689359659745,-3.467943554757917e-08,-2.9162085133841926
100,-0.70709228515625,237.20710640111,-0.00264587402343749,-0.705963134765625,3,10836,-0.000572059,-0.0008186822134539518,-2.766437815787691,-0.00020480244386058522,-3.5911098869274214e-08,-2.7674613363561047
101,-0.708160400390625,237.228468401056,-0.002642822265625,-0.707000732421875,3,10837,-0.00058543,-0.0008259938574668715,-2.6291992633523518,-0.000211645564710017,-3.714944360523705e-08,-2.630236939923972
102,-0.709228515625,237.249830401002,-0.002642822265625,-0.7081298828125,3,10838,-0.000596106,-0.0008339506558662805,-2.4875756189715506,-0.00021934981355429937,-3.8545625049814864e-08,-2.4886289579865957
103,-0.710296630859375,237.271192400948,-0.00264587402343749,-0.70916748046875,3,10839,-0.000678606,-0.0008412622998791985,-2.3641709738091725,-0.00022667371017815567,-3.987481748651799e-08,-2.3652389496940476
104,-0.71136474609375,237.292554400894,-0.00266418457031251,-0.710174560546875,3,10840,-0.000740147,-0.0008483589065233724,-2.2502530601821427,-0.00023401335485859947,-4.120873632205852e-08,-2.251335473652261
105,-0.712432861328125,237.31391640084,-0.002667236328125,-0.7113037109375,3,10841,-0.00051835,-0.0008563156978760719,-2.12904172062787,-0.00024252231442438164,-4.275747555706628e-08,-2.1301406013976454
106,-0.7135009765625,237.335278400786,-0.00263061523437499,-0.712371826171875,3,10842,-0.000513109,-0.0008638423933511547,-2.0203975261684324,-0.00025085246386733325,-4.427603480554981e-08,-2.021512265301686
107,-0.714569091796875,237.356640400732,-0.002655029296875,-0.71337890625,3,10843,-0.000775766,-0.0008709389929486182,-1.923044479166477,-0.00025896522836403265,-4.575718402360788e-08,-1.9241744291449736
