Figure 4 Data,,,,,,
Exp 1,,Exp 3,,Exp 6 (10/11),,
300 mV/s,,300 mV/s,,300 mV/s,,
Adjusted Potential (WE Potential - 0.9 V),Current Density (mA/cm^2),Adjusted Potential (WE Potential - 0.9 V),Current Density (mA/cm^2),Adjusted Potential (WE Potential - 0.9 V),Current Density (mA/cm^2),
-0.432024,-3.094554365,-0.412109,-1.559270274,-0.212604,-0.350352836,
-0.433123,-3.084268156,-0.413086,-1.559270274,-0.213641,-0.363328615,
-0.43413,-3.145951722,-0.414185,-1.596967658,-0.21474,-0.311424649,
-0.435228,-3.115115554,-0.415283,-1.596967658,-0.215808,-0.272496461,
-0.436235,-3.111690561,-0.416382,-1.569556483,-0.216937,-0.324400428,
-0.437365,-3.139101736,-0.41745,-1.614103853,-0.217944,-0.337376632,
-0.438433,-3.149387945,-0.418488,-1.655226231,-0.219043,-0.298448445,
-0.43947,-3.111690561,-0.419556,-1.596967658,-0.22005,-0.363328615,
-0.440569,-3.111690561,-0.420624,-1.617528847,-0.221179,-0.389280598,
-0.441545,-3.173374127,-0.421661,-1.665501211,-0.222247,-0.363328615,
-0.442705,-3.159662925,-0.422699,-1.651801238,-0.223224,-0.415232582,
-0.443773,-3.104829345,-0.423828,-1.624378833,-0.224384,-0.44118584,
-0.44478,-3.159662925,-0.424896,-1.658651224,-0.225391,-0.44118584,
-0.445879,-3.180224113,-0.425995,-1.658651224,-0.226489,-0.363328615,
-0.447008,-3.139101736,-0.427032,-1.655226231,-0.227588,-0.532016719,
-0.448015,-3.169949134,-0.42804,-1.668937433,-0.228625,-0.493089807,
-0.449083,-3.190510323,-0.429169,-1.692923615,-0.229755,-0.467135698,
-0.450121,-3.163087918,-0.430298,-1.679212413,-0.230792,-0.519039664,
-0.451219,-3.163087918,-0.431305,-1.662076218,-0.23183,-0.480112752,
-0.452288,-3.207646518,-0.432343,-1.716909797,-0.232867,-0.493089807,
-0.453295,-3.193935316,-0.433411,-1.720334791,-0.233966,-0.493089807,
-0.454454,-3.166512911,-0.434479,-1.682637406,-0.235065,-0.519039664,
-0.455492,-3.180224113,-0.435516,-1.706634818,-0.236163,-0.532016719,
-0.45656,-3.207646518,-0.436646,-1.751182189,-0.237262,-0.532016719,
-0.457628,-3.173374127,-0.437622,-1.740895979,-0.238269,-0.635824651,
-0.458666,-3.142526729,-0.438721,-1.713484804,-0.239307,-0.648801706,
-0.459734,-3.214496505,-0.439728,-1.78545458,-0.240375,-0.609874794,
-0.460771,-3.214496505,-0.440918,-1.764893391,-0.241504,-0.59689774,
-0.461809,-3.169949134,-0.441986,-1.737470986,-0.24248,-0.674751563,
-0.462938,-3.197360309,-0.443024,-1.758032175,-0.24364,-0.687728618,
-0.464006,-3.224771484,-0.444183,-1.788879573,-0.244678,-0.635824651,
-0.465105,-3.190510323,-0.44519,-1.740895979,-0.245685,-0.674751563,
-0.466112,-3.200785302,-0.446228,-1.764893391,-0.246783,-0.687728618,
-0.467211,-3.2316327,-0.447266,-1.819715741,-0.247852,-0.700705672,
-0.468218,-3.207646518,-0.448364,-1.788879573,-0.24895,-0.648801706,
-0.469377,-3.183649107,-0.449463,-1.768318384,-0.249988,-0.72665553,
-0.470415,-3.24190768,-0.450409,-1.819715741,-0.251117,-0.622847597,
-0.471483,-3.2316327,-0.451599,-1.826576957,-0.252155,-0.648801706,
-0.472582,-3.197360309,-0.452576,-1.806015769,-0.253253,-0.700705672,
-0.473589,-3.183649107,-0.453674,-1.802579546,-0.25426,-0.752609639,
-0.474657,-3.235057693,-0.454803,-1.850563139,-0.255359,-0.713682727,
-0.475725,-3.217921498,-0.45578,-1.84027693,-0.256396,-0.687728618,
-0.476824,-3.214496505,-0.456909,-1.816290748,-0.257465,-0.700705672,
