"Figure 2 data (WE Area: 1.04 cm^2, scan rate: 0.3 V/s)",
Potential (V),Current Density (mA/cm^3)
-0.83313,-6.450230669
-0.834045,-6.459061511
-0.835266,-6.503244677
-0.836182,-6.520916013
-0.837097,-6.497357449
-0.838318,-6.556258685
-0.839539,-6.603385465
-0.840454,-6.618113187
-0.841675,-6.621056801
-0.84259,-6.656399473
-0.843811,-6.706469867
-0.844727,-6.700582638
-0.845642,-6.718253974
-0.847473,-6.785995704
-0.848389,-6.76243714
-0.849304,-6.78305209
-0.85022,-6.85079382
-0.85144,-6.836066098
-0.852661,-6.821338376
-0.853577,-6.853737434
-0.854492,-6.921479164
-0.855408,-6.947990994
-0.856018,-6.96566233
-0.857849,-6.998061388
-0.858154,-7.036347674
-0.859985,-7.030460446
-0.860901,-7.080530839
-0.861816,-7.109976632
-0.863037,-7.098202176
-0.864258,-7.139432076
-0.865479,-7.21011742
-0.866394,-7.195389698
-0.866699,-7.186558856
-0.86853,-7.274915536
-0.869446,-7.27785915
-0.870056,-7.316155087
-0.871887,-7.395671274
-0.872498,-7.410398995
-0.873718,-7.431013946
-0.874329,-7.431013946
-0.875549,-7.519380277
-0.87677,-7.537051613
-0.878296,-7.554722949
-0.879211,-7.575337899
-0.880432,-7.625408293
-0.881348,-7.663694579
-0.881958,-7.701990516
-0.883484,-7.75206091
-0.884705,-7.75206091
-0.885315,-7.749107645
-0.88623,-7.813905761
-0.887451,-7.837473976
-0.888672,-7.849248433
-0.889587,-7.849248433
-0.891418,-7.937614764
-0.892334,-7.928774271
-0.892944,-7.958229714
-0.894165,-7.987685158
-0.895081,-8.052483274
-0.895691,-8.052483274
-0.897217,-8.093713174
-0.897522,-8.152624062
-0.899353,-8.161454904
-0.900574,-8.182069854
-0.901489,-8.258652078
-0.90271,-8.29399475
-0.903625,-8.302835243
-0.904236,-8.355849251
-0.905457,-8.408863259
-0.906982,-8.432421824
-0.907898,-8.485435832
-0.910034,-8.51783489
-0.909729,-8.582633005
-0.911255,-8.564961669
-0.911865,-8.662158843
-0.912781,-8.706342009
-0.914917,-8.694557901
-0.915527,-8.721060079
-0.916748,-8.850656311
-0.917358,-8.832984975
-0.918579,-8.871271261
-0.919495,-8.927238534
-0.920715,-8.971412049
-0.921631,-8.994980264
-0.923157,-9.027379322
-0.924072,-9.092177438
-0.924988,-9.115736002
-0.926819,-9.156975554
-0.927429,-9.227660898
-0.928345,-9.227660898
-0.92926,-9.251219462
-0.930176,-9.307177084
-0.931396,-9.383759308
-0.932617,-9.39848703
-0.933533,-9.436773316
-0.934753,-9.510411925
-0.935669,-9.560482319
-0.93689,-9.57520039
-0.93811,-9.637054892
-0.939331,-9.657660191
-0.939941,-9.716532473
-0.940857,-9.772509398
-0.941467,-9.834373551
-0.943298,-9.860914334
-0.944214,-9.878576019
-0.945129,-9.993425226
-0.94635,-9.999312454
-0.947571,-10.01697414
-0.947876,-10.08183016
-0.949707,-10.15546877
-0.951233,-10.17901768
-0.951538,-10.22611551
-0.952454,-10.29676225
-0.953674,-10.3586264
-0.95459,-10.37927996
-0.956116,-10.45291857
-0.956726,-10.50001639
-0.958252,-10.52945253
-0.959473,-10.5825341
-0.960388,-10.70027867
-0.961609,-10.69738331
-0.962524,-10.72981132
-0.963745,-10.84466053
-0.964661,-10.90942004
-0.965271,-10.96539696
-0.966492,-11.02726112
-0.967712,-11.0950125
-0.969238,-11.127344
-0.969849,-11.15977201
-0.971375,-11.2599514
-0.971985,-11.3100411
-0.973206,-11.3423726
-0.973816,-11.41900308
-0.975037,-11.48964981
-0.975952,-11.52796505
-0.977783,-11.60449902
-0.978394,-11.66636317
-0.979309,-11.72822733
-0.98053,-11.7312192
-0.982056,-11.82251949
-0.982666,-11.89905346
-0.983582,-11.91082792
-0.985107,-12.00212821
-0.986023,-12.07875869
-0.987244,-12.12585652
-0.987549,-12.19650326
-0.989075,-12.26724651
-0.989685,-12.35555493
