Figure 13 data,,,,,,,
Voltammogram (top),,Residual gas analyzer data (bottom),,,,,
,,-0.5 V,,-0.8 V,,-0.9 V,
Potential (V),Current (A),Time (s),2 AMU signal intensity,Time (s),2 AMU signal intensity,Time (s),2 AMU signal intensity
0.363007,0.00517578,50.627,1.81E+00,50.583,2.41E+00,50.744,2.28E+00
0.365448,0.0052063,50.942,2.11E+00,50.898,2.54E+00,51.059,2.25E+00
0.367889,0.00523682,51.258,2.28E+00,51.214,2.61E+00,51.375,2.04E+00
0.370331,0.00526123,51.574,2.30E+00,51.529,2.25E+00,51.691,1.89E+00
0.372772,0.00528564,51.889,2.59E+00,51.845,2.24E+00,52.006,2.02E+00
0.375214,0.00530701,52.205,2.49E+00,52.161,2.31E+00,52.322,2.21E+00
0.377655,0.00532532,52.52,2.52E+00,52.476,2.10E+00,52.637,2.33E+00
0.380096,0.00534668,52.836,2.52E+00,52.792,2.14E+00,52.953,2.31E+00
0.382538,0.00536194,53.152,2.20E+00,53.107,2.17E+00,53.269,2.51E+00
0.384979,0.0053772,53.467,2.41E+00,53.423,2.28E+00,53.584,2.50E+00
0.387421,0.00538635,53.783,2.16E+00,53.739,2.25E+00,53.9,2.55E+00
0.389862,0.00539246,54.098,1.95E+00,54.054,2.43E+00,54.215,2.45E+00
0.392303,0.00540466,54.414,2.15E+00,54.37,2.57E+00,54.531,2.38E+00
0.394745,0.00541382,54.73,1.99E+00,54.685,2.52E+00,54.847,2.24E+00
0.397186,0.00542297,55.045,2.26E+00,55.001,2.46E+00,55.162,2.15E+00
0.399628,0.00542908,55.361,2.35E+00,55.317,2.59E+00,55.478,2.25E+00
0.402069,0.00544128,55.676,2.18E+00,55.632,2.13E+00,55.793,1.93E+00
0.40451,0.00544434,55.992,2.29E+00,55.948,2.21E+00,56.109,1.98E+00
0.406952,0.00544739,56.308,2.28E+00,56.263,2.47E+00,56.425,2.21E+00
0.409393,0.00545044,56.623,2.29E+00,56.579,2.27E+00,56.74,2.28E+00
0.411835,0.00547485,56.939,2.40E+00,56.895,2.04E+00,57.056,2.38E+00
0.414276,0.00546875,57.254,2.31E+00,57.21,2.38E+00,57.371,2.42E+00
0.416718,0.00550842,57.57,2.44E+00,57.526,2.24E+00,57.687,2.39E+00
0.419159,0.00550842,57.886,2.13E+00,57.841,2.49E+00,58.003,2.50E+00
0.4216,0.00548096,58.201,2.11E+00,58.157,2.59E+00,58.318,2.40E+00
0.424042,0.00549316,58.517,2.14E+00,58.473,2.53E+00,58.634,2.42E+00
0.426483,0.00552063,58.832,2.26E+00,58.788,2.53E+00,58.949,2.24E+00
0.428925,0.00551758,59.148,2.13E+00,59.104,2.49E+00,59.265,2.16E+00
0.431366,0.00550232,59.464,2.46E+00,59.419,2.22E+00,59.581,2.12E+00
0.433807,0.00553284,59.779,2.44E+00,59.735,2.01E+00,59.896,2.19E+00
0.436249,0.00555725,60.095,2.57E+00,60.051,2.09E+00,60.212,2.18E+00
0.43869,0.00555725,60.41,2.37E+00,60.366,2.23E+00,60.527,2.09E+00
0.441132,0.0055542,60.726,2.45E+00,60.682,2.24E+00,60.843,2.34E+00
0.443573,0.00559387,61.042,2.42E+00,60.997,2.16E+00,61.159,2.54E+00
0.446014,0.00561523,61.357,2.09E+00,61.313,2.38E+00,61.474,2.48E+00
0.448456,0.00560303,61.673,2.01E+00,61.629,2.59E+00,61.79,2.58E+00
0.450897,0.00561829,61.988,2.02E+00,61.944,2.56E+00,62.105,1.62E+00
0.453339,0.00566406,62.304,1.98E+00,62.26,2.72E+00,62.421,2.17E+00
0.45578,0.00568542,62.62,2.22E+00,62.575,2.55E+00,62.737,2.19E+00
0.458221,0.00567932,62.935,2.16E+00,62.891,2.58E+00,63.052,2.29E+00
0.460663,0.00572205,63.251,2.30E+00,63.207,2.39E+00,63.368,2.30E+00
0.463104,0.00577087,63.566,2.37E+00,63.522,2.38E+00,63.683,1.97E+00
0.465546,0.00579224,63.882,2.48E+00,63.838,2.10E+00,63.999,2.16E+00
0.467987,0.0058075,64.198,2.54E+00,64.153,2.18E+00,64.315,2.40E+00
0.470428,0.00586243,64.513,2.48E+00,64.469,2.38E+00,64.63,2.46E+00
0.47287,0.00591125,64.829,2.29E+00,64.785,2.32E+00,64.946,2.66E+00
0.475311,0.00593262,65.144,2.19E+00,65.1,2.31E+00,65.261,2.55E+00
0.477753,0.00595398,65.46,2.06E+00,65.416,2.37E+00,65.577,2.51E+00
0.480194,0.00603027,65.776,2.39E+00,65.731,2.56E+00,65.893,2.57E+00
0.482635,0.00608215,66.091,2.01E+00,66.047,2.70E+00,66.208,2.44E+00
0.485077,0.00610046,66.407,2.23E+00,66.363,2.51E+00,66.524,2.31E+00
0.487518,0.00615234,66.722,2.19E+00,66.678,2.52E+00,66.839,2.05E+00
0.48996,0.00624695,67.038,2.23E+00,66.994,2.41E+00,67.155,1.94E+00
0.492401,0.00629578,67.354,2.43E+00,67.309,2.14E+00,67.471,2.01E+00
0.494843,0.0063385,67.669,2.54E+00,67.625,2.22E+00,67.786,2.26E+00
0.497284,0.00642395,67.985,2.49E+00,67.941,2.10E+00,68.102,2.03E+00
0.499725,0.0065094,68.3,2.41E+00,68.256,2.11E+00,68.417,2.43E+00
0.502167,0.00659485,68.616,2.42E+00,68.572,2.28E+00,68.733,2.40E+00
0.504608,0.0066803,68.932,2.40E+00,68.887,2.42E+00,69.049,2.50E+00
0.50705,0.00676575,69.247,2.14E+00,69.203,2.42E+00,69.364,2.42E+00
0.509491,0.0068573,69.563,1.96E+00,69.519,2.66E+00,69.68,2.38E+00
0.511932,0.0069458,69.878,2.21E+00,69.834,2.69E+00,69.995,2.17E+00
0.514374,0.00703735,70.194,2.10E+00,70.15,2.67E+00,70.311,2.40E+00
0.516815,0.00713196,70.51,2.87E+00,70.465,2.50E+00,70.627,2.10E+00
0.519257,0.00725098,70.825,2.33E+00,70.781,2.23E+00,70.942,2.11E+00
0.521698,0.00736694,71.141,2.36E+00,71.097,2.34E+00,71.258,2.09E+00
0.524139,0.00748901,71.456,2.49E+00,71.412,2.36E+00,71.573,2.12E+00
0.526581,0.00762024,71.772,2.56E+00,71.728,2.16E+00,71.889,2.15E+00
0.529022,0.00775146,72.088,2.62E+00,72.043,2.14E+00,72.205,2.39E+00
0.531464,0.00789795,72.403,2.42E+00,72.359,2.37E+00,72.52,2.72E+00
0.533905,0.00804443,72.719,2.18E+00,72.675,2.37E+00,72.836,2.53E+00
0.536346,0.00820007,73.034,2.08E+00,72.99,2.29E+00,73.151,2.57E+00
0.538788,0.00835571,73.35,1.90E+00,73.306,2.63E+00,73.467,2.52E+00
0.541229,0.00852356,73.666,1.99E+00,73.621,2.54E+00,73.783,2.45E+00
0.543671,0.00868835,73.981,2.07E+00,73.937,2.62E+00,74.098,2.17E+00
0.546112,0.00886841,74.297,2.11E+00,74.253,2.38E+00,74.414,2.28E+00
0.548553,0.00905151,74.612,2.30E+00,74.568,2.37E+00,74.729,1.94E+00
0.550995,0.00923157,74.928,2.45E+00,74.884,2.38E+00,75.045,2.07E+00
0.553436,0.00941772,75.244,2.65E+00,75.199,2.34E+00,75.361,2.11E+00
0.555878,0.00960693,75.559,2.66E+00,75.515,2.23E+00,75.676,2.03E+00
0.558319,0.00982056,75.875,2.51E+00,75.831,2.21E+00,75.992,2.44E+00
0.56076,0.0100342,76.19,2.46E+00,76.146,2.35E+00,76.307,2.55E+00
0.563202,0.0102631,76.506,2.33E+00,76.462,2.40E+00,76.623,2.51E+00
0.565643,0.010495,76.822,2.11E+00,76.777,2.56E+00,76.939,2.60E+00
0.568085,0.0107513,77.137,2.10E+00,77.093,2.57E+00,77.254,2.59E+00
0.570526,0.0109985,77.453,2.20E+00,77.409,2.64E+00,77.57,2.34E+00
0.572968,0.011261,77.768,2.14E+00,77.724,2.59E+00,77.885,2.30E+00
0.575409,0.0115234,78.084,2.06E+00,78.04,2.60E+00,78.201,2.47E+00
0.57785,0.0117981,78.4,2.34E+00,78.355,2.97E+00,78.517,2.05E+00
0.580292,0.0120789,78.715,2.54E+00,78.671,2.38E+00,78.832,2.17E+00
0.582733,0.0123718,79.031,2.57E+00,78.987,2.23E+00,79.148,2.22E+00
