Figure 3 data,,,,,,,,,,,
Exp 1 (11/17),,,,Exp 3 (12/1),,,,Exp 6 (10/11),,,
300 mV/s,,,,300 mV/s,,,,300 mV/s,,,
WE Potential (V),Adjusted Potential (WE Potential + 0 V),WE Current Density (A/cm^2),WE Current Density (mA/cm^2),WE Potential (V),Adjusted Potential (WE Potential - 0.2 V),WE Current Density (A/cm^2),WE Current Density (mA/cm^2),WE Potential (V),Adjusted Potential (WE Potential - 0.9 V),WE Current Density (A/cm^2),WE Current Density (mA/cm^2)
-0.129974,-0.129974,-0.005356353,-5.35635251,-0.129913,-0.329913,-0.00255358,-2.553580438,-0.129944,-1.029944,-0.016557395,-16.55739505
-0.131042,-0.131042,-0.005359778,-5.359777503,-0.131073,-0.331073,-0.002532965,-2.532965488,-0.130981,-1.030981,-0.016557395,-16.55739505
-0.132111,-0.132111,-0.00540775,-5.407749867,-0.13208,-0.33208,-0.002527078,-2.52707826,-0.13208,-1.03208,-0.016635249,-16.63524887
-0.133148,-0.133148,-0.005352928,-5.352927517,-0.133118,-0.333118,-0.002556534,-2.556533703,-0.133087,-1.033087,-0.016777988,-16.77798797
-0.134247,-0.134247,-0.005311794,-5.31179391,-0.134277,-0.334277,-0.002556534,-2.556533703,-0.134247,-1.034247,-0.016790957,-16.79095652
-0.135284,-0.135284,-0.005390625,-5.390624901,-0.135345,-0.335345,-0.002532965,-2.532965488,-0.135223,-1.035223,-0.016816936,-16.81693614
-0.136353,-0.136353,-0.005366627,-5.36662749,-0.136322,-0.336322,-0.002550637,-2.550636824,-0.136292,-1.036292,-0.016985612,-16.98561234
-0.137421,-0.137421,-0.005311794,-5.31179391,-0.137421,-0.337421,-0.002580092,-2.580092268,-0.13739,-1.03739,-0.016998581,-16.99858089
-0.138519,-0.138519,-0.005363202,-5.363202496,-0.138519,-0.338519,-0.002530022,-2.530021874,-0.138489,-1.038489,-0.017037529,-17.03752906
-0.139557,-0.139557,-0.005359778,-5.359777503,-0.139557,-0.339557,-0.00259482,-2.594819989,-0.139557,-1.039557,-0.017193237,-17.1932367
-0.140594,-0.140594,-0.00532893,-5.328930105,-0.140686,-0.340686,-0.002606604,-2.606604097,-0.140564,-1.040564,-0.017271091,-17.27109053
-0.141663,-0.141663,-0.005346066,-5.346066301,-0.141724,-0.341724,-0.002559477,-2.559477317,-0.141632,-1.041632,-0.017284059,-17.28405908
-0.142731,-0.142731,-0.005335791,-5.335791321,-0.142761,-0.342761,-0.00255358,-2.553580438,-0.142792,-1.042792,-0.017348944,-17.34894435
-0.143768,-0.143768,-0.005291233,-5.291232721,-0.14386,-0.34386,-0.002618379,-2.618378554,-0.143829,-1.043829,-0.017530589,-17.5305891
-0.144867,-0.144867,-0.005318655,-5.318655126,-0.144897,-0.344897,-0.00259482,-2.594819989,-0.144867,-1.044867,-0.017595474,-17.59547437
-0.145905,-0.145905,-0.005356353,-5.35635251,-0.145996,-0.345996,-0.002568308,-2.56830816,-0.145966,-1.045966,-0.017517621,-17.51762055
-0.146973,-0.146973,-0.005339216,-5.339216314,-0.147064,-0.347064,-0.002588933,-2.588932761,-0.146973,-1.046973,-0.017725245,-17.72524492
-0.14801,-0.14801,-0.005253535,-5.253535336,-0.148132,-0.348132,-0.002609548,-2.609547711,-0.148132,-1.048132,-0.017829078,-17.82907836
-0.14917,-0.14917,-0.005291233,-5.291232721,-0.14917,-0.34917,-0.002577149,-2.577148653,-0.149109,-1.049109,-0.017842047,-17.84204691
-0.150238,-0.150238,-0.005342641,-5.342641308,-0.150238,-0.350238,-0.002577149,-2.577148653,-0.150177,-1.050177,-0.017880953,-17.88095257
-0.151306,-0.151306,-0.005304944,-5.304943923,-0.151337,-0.351337,-0.002641947,-2.641946769,-0.151276,-1.051276,-0.017984786,-17.98478601
-0.152283,-0.152283,-0.005226124,-5.226124161,-0.152374,-0.352374,-0.002624275,-2.624275433,-0.152344,-1.052344,-0.01806264,-18.06263983
-0.153381,-0.153381,-0.005298094,-5.298093937,-0.153412,-0.353412,-0.002615435,-2.61543494,-0.153442,-1.053442,-0.018114514,-18.11451404
-0.154449,-0.154449,-0.005301519,-5.30151893,-0.15448,-0.35448,-0.002621322,-2.621322168,-0.154419,-1.054419,-0.018296201,-18.29620131
-0.155548,-0.155548,-0.005256972,-5.256971559,-0.155548,-0.355548,-0.00264489,-2.644890383,-0.155548,-1.055548,-0.018257253,-18.25725313
-0.156586,-0.156586,-0.005277533,-5.277532748,-0.156616,-0.356616,-0.002603651,-2.603650832,-0.156616,-1.056616,-0.01830917,-18.30916986
-0.157654,-0.157654,-0.005298094,-5.298093937,-0.157715,-0.357715,-0.002633106,-2.633106276,-0.157654,-1.057654,-0.018451909,-18.45190895
-0.158813,-0.158813,-0.005232974,-5.232974148,-0.158722,-0.358722,-0.002639003,-2.639003155,-0.158752,-1.058752,-0.018672502,-18.67250187
